31/07/2019 12:09:26 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 12:28:14 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 12:47:27 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 12:50:17 | saveUserProfilCentre | La référence d'objet n'est pas définie à une instance d'un objet.

31/07/2019 13:10:44 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 13:12:49 | saveUserProfilCentre | La référence d'objet n'est pas définie à une instance d'un objet.

31/07/2019 13:27:38 | saveUserProfilCentre | La référence d'objet n'est pas définie à une instance d'un objet.

31/07/2019 13:29:26 | saveUserProfilCentre | La référence d'objet n'est pas définie à une instance d'un objet.

31/07/2019 13:29:57 | saveUserProfilCentre | La référence d'objet n'est pas définie à une instance d'un objet.

31/07/2019 13:34:27 | saveUserProfilCentre | La référence d'objet n'est pas définie à une instance d'un objet.

31/07/2019 13:48:59 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 13:50:32 | saveUserProfilCentre | ok

31/07/2019 13:51:33 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 15:47:54 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 15:55:03 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 16:00:58 | GenererFichierImpayes | SPX_GET_IMPAYES:Impossible de convertir l'objet de type 'System.Guid' en type 'System.String'.

31/07/2019 16:59:37 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 17:14:14 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 18:05:56 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 18:20:42 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 18:30:28 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 18:41:55 | InsertUpdateUser | ok

31/07/2019 18:42:29 | SyncInvokeRetourneListeAllUser | ok

31/07/2019 18:43:21 | InsertUpdateUser | ok

31/07/2019 18:47:24 | saveUserProfilCentre | ok

31/07/2019 18:49:23 | saveUserProfilCentre | ok

31/07/2019 18:51:28 | InsertUpdateUser | ok

