04/07/2019 00:14:22 | SyncInvokesetFromWebPart | 1111101422238

04/07/2019 00:14:22 | Callback | localhost1818

04/07/2019 00:14:23 | RenderReport | loadData

04/07/2019 00:14:23 | RenderReport | 1111101422238

04/07/2019 00:14:23 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

04/07/2019 00:14:23 | SyncInvokeGetCsPrintFromWebPart | 1111101422238

04/07/2019 00:14:23 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

04/07/2019 00:14:23 | LoadData | 1111101422238

04/07/2019 00:14:23 | LoadData | données trouve

04/07/2019 00:14:23 | LoadData | Parametre non trouvé

04/07/2019 00:14:23 | data | data trouve

04/07/2019 00:14:23 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

04/07/2019 00:14:23 | CreatePDFChemin | Add DataSources ok

04/07/2019 00:14:23 | RunCreationPDF | \\LAP-IV-IWEBS01\Impression

04/07/2019 00:28:06 | SyncInvokesetFromWebPart | 11111028636

04/07/2019 00:28:06 | Callback | localhost1818

04/07/2019 00:28:06 | RenderReport | loadData

04/07/2019 00:28:06 | RenderReport | 11111028636

04/07/2019 00:28:06 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

04/07/2019 00:28:06 | SyncInvokeGetCsPrintFromWebPart | 11111028636

04/07/2019 00:28:06 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

04/07/2019 00:28:06 | LoadData | 11111028636

04/07/2019 00:28:06 | LoadData | données trouve

04/07/2019 00:28:06 | LoadData | Parametre non trouvé

04/07/2019 00:28:06 | data | data trouve

04/07/2019 00:28:06 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

04/07/2019 00:28:06 | CreatePDFChemin | Add DataSources ok

04/07/2019 00:28:06 | RunCreationPDF | \\LAP-IV-IWEBS01\Impression

04/07/2019 00:31:11 | SyncInvokesetFromWebPart | 1111103111571

04/07/2019 00:31:11 | Callback | localhost1818

04/07/2019 00:31:11 | RenderReport | loadData

04/07/2019 00:31:11 | RenderReport | 1111103111571

04/07/2019 00:31:11 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

04/07/2019 00:31:11 | SyncInvokeGetCsPrintFromWebPart | 1111103111571

04/07/2019 00:31:11 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

04/07/2019 00:31:11 | LoadData | 1111103111571

04/07/2019 00:31:11 | LoadData | données trouve

04/07/2019 00:31:11 | LoadData | Parametre non trouvé

04/07/2019 00:31:11 | data | data trouve

04/07/2019 00:31:11 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

04/07/2019 00:31:11 | CreatePDFChemin | Add DataSources ok

04/07/2019 00:31:11 | RunCreationPDF | \\LAP-IV-IWEBS01\Impression

04/07/2019 00:37:53 | SyncInvokesetFromWebPart | 1111103753826

04/07/2019 00:37:54 | Callback | localhost1818

04/07/2019 00:37:54 | RenderReport | loadData

04/07/2019 00:37:54 | RenderReport | 1111103753826

04/07/2019 00:37:54 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

