17/07/2019 11:15:01 | SyncInvokesetFromWebPart | 1111111150841

17/07/2019 11:15:13 | Callback | localhost1818

17/07/2019 11:15:13 | RenderReport | loadData

17/07/2019 11:15:13 | RenderReport | 1111111150841

17/07/2019 11:15:13 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/07/2019 11:15:13 | SyncInvokeGetCsPrintFromWebPart | 1111111150841

17/07/2019 11:15:13 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/07/2019 11:15:13 | LoadData | 1111111150841

17/07/2019 11:15:13 | LoadData | données trouve

17/07/2019 11:15:13 | LoadData | Parametre trouvé

17/07/2019 11:15:13 | data | data trouve

17/07/2019 11:15:13 | CreatePDFChemin | ~/Reports/Caisse/ListeDesTransactions.rdlc | Chemin du fichier rdlc

17/07/2019 11:15:15 | CreatePDFChemin | pUser : System.Collections.Specialized.StringCollection  pDateFin : System.Collections.Specialized.StringCollection | Set Parameters

17/07/2019 11:15:15 | CreatePDFChemin | Add DataSources ok

17/07/2019 11:15:15 | RunCreationPDF | \\LAP-IV-IWEBS01\Impression

17/07/2019 11:37:36 | SyncInvokesetFromWebPart | 11111113736476

17/07/2019 11:37:36 | Callback | localhost1818

17/07/2019 11:37:36 | RenderReport | loadData

17/07/2019 11:37:36 | RenderReport | 11111113736476

17/07/2019 11:37:36 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/07/2019 11:37:36 | SyncInvokeGetCsPrintFromWebPart | 11111113736476

17/07/2019 11:37:36 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/07/2019 11:37:36 | LoadData | 11111113736476

17/07/2019 11:37:36 | LoadData | données trouve

17/07/2019 11:37:37 | LoadData | Parametre non trouvé

17/07/2019 11:37:37 | data | data trouve

17/07/2019 11:37:37 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

17/07/2019 11:37:37 | CreatePDFChemin | Add DataSources ok

17/07/2019 11:37:37 | RunCreationPDF | \\LAP-IV-IWEBS01\Impression

17/07/2019 13:31:42 | SyncInvokesetFromWebPart | 11111133141863

17/07/2019 13:31:42 | Callback | localhost1818

17/07/2019 13:31:42 | Callback | localhost1818

17/07/2019 13:31:42 | RenderReport | loadData

17/07/2019 13:31:42 | RenderReport | loadData

17/07/2019 13:31:42 | RenderReport | 11111133141698

17/07/2019 13:31:42 | RenderReport | 11111133141863

17/07/2019 13:31:42 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/07/2019 13:31:42 | SyncInvokeGetCsPrintFromWebPart | 11111133141698

17/07/2019 13:31:42 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/07/2019 13:31:42 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/07/2019 13:31:42 | SyncInvokeGetCsPrintFromWebPart | 11111133141863

17/07/2019 13:31:42 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/07/2019 13:31:43 | LoadData | 11111133141863

17/07/2019 13:31:43 | LoadData | 11111133141698

17/07/2019 13:31:43 | LoadData | données trouve

17/07/2019 13:31:43 | LoadData | données trouve

17/07/2019 13:31:43 | LoadData | Parametre trouvé

17/07/2019 13:31:43 | LoadData | Parametre trouvé

17/07/2019 13:31:43 | data | data trouve data count: 1

17/07/2019 13:31:43 | data | data trouve data count: 2

17/07/2019 13:31:45 | ExportChemin | Tentative de définition d'un paramètre de rapport « pDebut » qui n'est pas défini dans ce rapport.

17/07/2019 13:31:45 | ExportChemin | Tentative de définition d'un paramètre de rapport « pDebut » qui n'est pas défini dans ce rapport.

