11/09/2019 10:50:27 | PrintingFromService | 11111105027148

11/09/2019 10:50:27 | Callback | localhost1818

11/09/2019 10:50:27 | RenderReport | loadData

11/09/2019 10:50:27 | RenderReport | 11111105027148

11/09/2019 10:50:27 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:50:27 | SyncInvokeGetCsPrintFromWebPart | 11111105027148

11/09/2019 10:50:27 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:50:27 | PrintingFromService | 11111105027652

11/09/2019 10:50:27 | Callback | localhost1818

11/09/2019 10:50:28 | RenderReport | loadData

11/09/2019 10:50:28 | RenderReport | 11111105027652

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | 11111105027652

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:50:28 | PrintingFromService | 11111105027981

11/09/2019 10:50:28 | Callback | localhost1818

11/09/2019 10:50:28 | RenderReport | loadData

11/09/2019 10:50:28 | LoadData | 11111105027148

11/09/2019 10:50:28 | RenderReport | 11111105027981

11/09/2019 10:50:28 | LoadData | données trouve

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | 11111105027981

11/09/2019 10:50:28 | LoadData | Parametre trouvé

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:50:28 | PrintingFromService | 11111105028329

11/09/2019 10:50:28 | data | data trouve data count: 1600

11/09/2019 10:50:28 | Callback | localhost1818

11/09/2019 10:50:28 | RenderReport | loadData

11/09/2019 10:50:28 | RenderReport | 11111105028329

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | 11111105028329

11/09/2019 10:50:28 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:50:28 | PrintingFromService | 11111105028705

11/09/2019 10:50:29 | LoadData | 11111105027652

11/09/2019 10:50:29 | Callback | localhost1818

11/09/2019 10:50:29 | LoadData | données trouve

11/09/2019 10:50:29 | PrintingFromService | 1111110502928

11/09/2019 10:50:29 | RenderReport | loadData

11/09/2019 10:50:29 | LoadData | Parametre trouvé

11/09/2019 10:50:29 | RenderReport | 11111105028705

11/09/2019 10:50:29 | Callback | localhost1818

11/09/2019 10:50:29 | data | data trouve data count: 1600

11/09/2019 10:50:29 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:50:29 | SyncInvokeGetCsPrintFromWebPart | 11111105028705

11/09/2019 10:50:29 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:50:29 | RenderReport | loadData

11/09/2019 10:50:29 | LoadData | données trouve

11/09/2019 10:50:29 | RenderReport | 1111110502928

11/09/2019 10:50:29 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:50:29 | LoadData | 11111105028329

11/09/2019 10:50:29 | LoadData | Parametre trouvé

| 1111110502928

11/09/2019 10:50:29 | LoadData | données trouve

11/09/2019 10:50:29 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:50:29 | data | data trouve data count: 1600

11/09/2019 10:50:30 | LoadData | Parametre trouvé

11/09/2019 10:50:30 | data | data trouve data count: 1600

11/09/2019 10:50:30 | PrintingFromService | 111111050308

11/09/2019 10:50:30 | Page_Load | RenderReport retour ok

11/09/2019 10:51:34 | LoadData | 11111105028705

11/09/2019 10:51:34 | LoadData | données trouve

11/09/2019 10:51:34 | LoadData | 1111110502928

11/09/2019 10:51:34 | Callback | localhost1818

11/09/2019 10:51:34 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_1|pdf

11/09/2019 10:51:34 | LoadData | données trouve

11/09/2019 10:51:34 | Page_Load | RenderReport retour ok

11/09/2019 10:52:34 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_2|pdf

11/09/2019 10:52:34 | RenderReport | loadData

�

11/09/2019 10:52:34 | data | data trouve data count: 1600

11/09/2019 10:52:34 | LoadData | Parametre trouvé

11/09/2019 10:52:34 | RenderReport | 11111105029461

11/09/2019 10:52:34 | data | data trouve data count: 1600

11/09/2019 10:52:35 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:52:35 | SyncInvokeGetCsPrintFromWebPart | 11111105029461

11/09/2019 10:52:35 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:52:35 | Callback | localhost1818

11/09/2019 10:52:35 | Page_Load | RenderReport retour ok

11/09/2019 10:52:35 | Page_Load | RenderReport retour ok

11/09/2019 10:52:35 | RenderReport | loadData

11/09/2019 10:53:11 | RenderReport | 111111050308

11/09/2019 10:53:11 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_3|pdf

11/09/2019 10:53:11 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_4|pdf

11/09/2019 10:53:11 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 10:53:11 | LoadData | 11111105029461

11/09/2019 10:53:11 | SyncInvokeGetCsPrintFromWebPart | 111111050308

11/09/2019 10:53:11 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 10:53:11 | LoadData | données trouve

11/09/2019 10:53:11 | LoadData | Parametre trouvé

11/09/2019 10:53:11 | data | data trouve data count: 1600

11/09/2019 10:53:12 | Page_Load | RenderReport retour ok

11/09/2019 10:53:12 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_5|pdf

11/09/2019 10:53:12 | Page_Load | RenderReport retour ok

11/09/2019 10:53:12 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_6|pdf

11/09/2019 10:53:12 | LoadData | 111111050308

11/09/2019 10:53:12 | LoadData | données trouve

11/09/2019 10:53:12 | LoadData | Parametre trouvé

11/09/2019 10:53:12 | data | data trouve data count: 1392

11/09/2019 10:53:13 | Page_Load | RenderReport retour ok

11/09/2019 10:53:13 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_7|pdf

11/09/2019 10:53:13 | Page_Load | RenderReport retour ok

11/09/2019 10:53:13 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_8|pdf

11/09/2019 10:54:03 | Page_Load | ICI3

11/09/2019 10:54:06 | Page_Load | ICI3

11/09/2019 10:54:06 | Page_Load | ICI3

11/09/2019 10:54:07 | Page_Load | ICI3

11/09/2019 10:54:08 | Page_Load | ICI3

11/09/2019 10:54:08 | Page_Load | ICI3

11/09/2019 10:54:09 | Page_Load | ICI3

11/09/2019 10:54:09 | Page_Load | ICI3

11/09/2019 11:16:54 | PrintingFromService | 11111111654273

11/09/2019 11:16:54 | PrintingFromService | 11111111654495

11/09/2019 11:16:54 | PrintingFromService | 11111111654673

11/09/2019 11:16:55 | PrintingFromService | 11111111654851

11/09/2019 11:16:55 | PrintingFromService | 11111111655139

11/09/2019 11:16:55 | PrintingFromService | 11111111655296

11/09/2019 11:16:55 | PrintingFromService | 11111111655445

11/09/2019 11:16:55 | PrintingFromService | 11111111655604

11/09/2019 11:16:55 | Callback | localhost1818

11/09/2019 11:16:55 | Callback | localhost1818

11/09/2019 11:16:55 | Callback | localhost1818

11/09/2019 11:16:55 | Callback | localhost1818

11/09/2019 11:16:55 | Callback | localhost1818

11/09/2019 11:16:56 | RenderReport | loadData

11/09/2019 11:16:56 | RenderReport | loadData

11/09/2019 11:16:56 | RenderReport | loadData

11/09/2019 11:16:56 | RenderReport | loadData

11/09/2019 11:16:56 | RenderReport | loadData

11/09/2019 11:16:56 | RenderReport | loadData


11/09/2019 11:16:56 | RenderReport | 11111111654673

11/09/2019 11:16:56 | RenderReport | 11111111654273

11/09/2019 11:16:56 | RenderReport | 11111111655139

11/09/2019 11:16:56 | RenderReport | 11111111654851

11/09/2019 11:16:56 | RenderReport | 11111111655296

11/09/2019 11:16:56 | RenderReport | 11111111654495

11/09/2019 11:16:56 | RenderReport | loadData

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | 11111111654273

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | 11111111654673

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | 11111111655139

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | 11111111654851

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | 11111111655296

11/09/2019 11:16:56 | RenderReport | 11111111655445

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | 11111111654495

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | 11111111655445

11/09/2019 11:16:56 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

11/09/2019 11:16:57 | Callback | localhost1818

11/09/2019 11:16:57 | RenderReport | loadData

11/09/2019 11:16:57 | RenderReport | 11111111655604

11/09/2019 11:16:57 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

11/09/2019 11:16:57 | SyncInvokeGetCsPrintFromWebPart | 11111111655604

11/09/2019 11:16:57 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

